utt_id	speaker_id	transcription	duration	snr
e76aac231d	34766	ॐ अस्पताल	4.0	18.875076293945312
7adbca437c	8570d	ॐ नम शिवाय	3.8	29.20505142211914
6716bd6508	f0b26	अ अक्षरका पछाडि	3.9	40.65835571289063
3081490a09	3d3c5	अकबरका पुत्र	2.0	26.226806640625
ad8c3eebeb	3b08b	अकबरका पुत्र	2.1	29.96080780029297
152e86daab	62f45	अकबरको ईसाई बेगमको	5.5	30.37147521972656
7fd2b13c25	09eb9	अकबरको धार्मिक सहिष्णुताको नीतिले शाही प्रशासनमा सबैका लागि नोकरी र रोजगारका अवसरहरू खोली दिएका थिए।	9.0	23.38744163513184
b98163f44e	95358	अकबरको नाति शाहजहाँले	3.8	36.26122283935547
7812af6580	7c42f	अकबरलाई राज्य सचिव	3.2	31.34690284729004
32608c63c9	6059d	अकबरले स्वयम् नैं	4.1	44.25920104980469
d0c0931811	35f03	अकबरले स्वयम् नैं	2.7	29.646286010742188
2e1a394278	76dab	अकबरीको लेखक फजलले	4.7	30.95492553710937
4163504915	da6d1	अकबरीको लेखक फजलले	4.7	32.731292724609375
595c8c5ef6	b70ea	अकबरीको लेखक फजलले	4.8	34.367958068847656
aab61fdf07	7f9c6	अकबरीको लेखक फजलले	5.8	48.19448852539063
39db7b06da	4170b	अकर्मक क्रिया हो	2.4	20.39886283874512
8a5d6f031f	88901	अकर्मको गाथाहरू भनिएका	3.9	41.40414810180664
204508561e	b3cd4	अकवर भन्छन्	3.1	36.51066589355469
ca3200b98a	acf91	अकवर भन्छन्	2.9	36.98761749267578
eb4ace47ba	cb53f	अकवर भन्छन्	2.6	43.85719299316406
4521449b29	5935d	अकुत सम्पत्ति छ	4.1	28.86579704284668
6a871ffbe4	bad17	अकुत सम्पत्ति छ	6.0	28.83127212524414
b1e9eec2e6	4dccf	अकुत सम्पत्ति छ	2.8	31.50575828552246
d4a30bc65f	5a9c4	अकुत सम्पत्ति छ	2.0	30.877668380737305
513906e04f	95a0e	अकोलवा रौतहट जिल्लाको एउटा गाउँ विकास समिति हो।	6.5	32.92447280883789
455af97f5a	8fbe4	अक्टोबरदेखि अप्रिलका	5.2	41.40958786010742
575764c34a	423bf	अक्टोबर महिना आश्विन	3.4	25.90768051147461
90a14e895c	d03c8	अक्टोबरमा अमेरिकाका लागि	4.4	15.140239715576172
56f20c920e	55c0f	अक्टोबर समाजवादी	3.6	32.0997200012207
9e0c148aae	02e53	अक्टोबर समाजवादी	3.0	26.823320388793945
b5592c514d	8a71e	अक्टोबर समाजवादी क्रान्तिको	10.5	41.544708251953125
36de08c71b	81624	अक्षताका रूपमा अर्को	3.5	39.21651840209961
5c7c792b81	d863b	अक्षता गङ्गाजीमा चढाइदिए	4.7	18.538803100585938
abd265a7ff	5f67a	अक्षता गङ्गाजीमा चढाइदिए	4.3	23.958559036254883
a65808fa8b	163a6	अक्षता पठाइन्	2.3	27.02542304992676
103447f91b	c06a7	अक्षय ऊर्जा	3.8	34.6123046875
6509a463c9	12d45	अक्षय ऊर्जा	1.7	35.92827224731445
8645b22742	1ff03	अक्षय ऊर्जा	4.3	38.27677917480469
133932a541	e349f	अक्षय तृतीया केदारनाथको	4.6	30.37617874145508
8032af2188	45ef4	अक्षय तृतीया केदारनाथको	3.2	37.7125244140625
8448b86b5c	1f680	अक्षय तृतीया केदारनाथको	4.9	36.07792282104492
90ee812a6c	4a756	अक्षय तृतीया केदारनाथको	5.1	33.68667984008789
5ed637072f	12f3b	अक्षर चिन्नुभयो	3.8	21.621950149536133
48460707d5	4cc9e	अक्षर छाप्ने टाइप	3.4	32.4343147277832
a617a33201	15b60	अक्षर छाप्ने टाइप	2.5	33.433067321777344
7d375dca17	f7bfe	अक्षर राखी रोलरले	4.3	41.27045440673828
0ea6c90676	e4596	अक्षरलाई मेरो मोबाइलले	3.1	50.1258430480957
2e9aa9a267	70e10	अक्षरले सबै मानिसको	2.2	22.10017967224121
60f4d6be51	07a6a	अक्षरले सबै मानिसको	4.4	30.29908943176269
59f46e1789	839e7	अक्षर सम्बन्धित हुन्छन्	3.1	27.156394958496094
5e54ff8394	8fbe4	अक्षर सम्बन्धित हुन्छन्	4.4	40.186649322509766
9913ec5f97	1f917	अक्षर होइन	2.0	22.099515914916992
efa7a32467	33783	अक्षर होइन	4.8	16.06795883178711
7359c1d69a	f743c	अक्षौहिणी नारायणी सेना	4.5	27.606761932373047
bd16a10c59	62f45	अक्स आँखेँ खाकी	3.1	20.20518112182617
e6258e8978	f6b2d	अक्स आँखेँ खाकी	4.8	34.53461456298828
15aeb0d051	c7f90	अक्सपोर्ड डिक्सनरीमा	5.0	37.07072448730469
a587009a0b	ea935	अक्सपोर्ड डिक्सनरीमा	3.5	35.1047477722168
a86a204abc	261b4	अक्सफोर्ड पनि भनिन्छ	2.4	30.10143280029297
43fb57ee9b	41b2c	अक्सफोर्ड रेडियो कार्बन	4.5	43.867332458496094
b902ea5cda	c652e	अक्सफोर्ड रेडियो कार्बन	3.2	35.35655212402344
511978fa65	95635	अक्सर पेयको माथि	2.6	27.3201961517334
c49fe9da2f	ee687	अक्सर पेयको माथि	4.2	33.943992614746094
185a9e55ba	a5514	अखण्ड नेपाल पार्टीका वर्तमान अध्यक्ष कुमार खड्का हुन्।	5.9	29.90704345703125
5692a7d1b5	09eb9	अखिल नेपाल ट्रेडयुनियन	2.9	21.470277786254883
835236acd1	df1f2	अखिल नेपाल महिला	2.3	25.103464126586918
57b644d286	12f3b	अखिलबाट राजनीति थाल्नुभएकी	4.2	19.5137996673584
4386d97fa9	1f790	अखिल भारती चिकित्सा	2.8	39.67890167236328
c074f7b502	370bf	अखिल भारती चिकित्सा	2.6	48.2352409362793
6fddc36337	09022	अखिल भारतीय आयुर्विज्ञान	4.5	21.16014289855957
6b5e782836	95635	अखिल भारतीय साहित्य	2.6	27.398622512817383
cbf3a696a2	f45e2	अखिल भारतीय साहित्य	2.1	30.858760833740234
8f83b11164	f7bfe	अखिल विभाजित भयो	3.4	37.515281677246094
460644b7f7	8389b	अखिलेश उपाध्याय हुनुहुन्छ	5.7	41.80498504638672
